,Province/State,Country/Region,Lat,Long,Date,Confirmed,Recovered,Deaths,Month-Year,Date Shifted,Confirmed Daily,Recovered Daily,Deaths Daily
171,Beijing,China,40.1824,116.4142,2020-01-22,14.0,0.0,0.0,Jan-2020,2020-01-23,8.0,0.0,0.0
172,Shanghai,China,31.202,121.4491,2020-01-22,9.0,0.0,0.0,Jan-2020,2020-01-23,7.0,0.0,0.0
173,Hebei,China,39.549,116.1306,2020-01-22,1.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,1.0
174,Fujian,China,26.0789,117.9874,2020-01-22,1.0,0.0,0.0,Jan-2020,2020-01-23,4.0,0.0,0.0
175,Guangxi,China,23.8298,108.7881,2020-01-22,2.0,0.0,0.0,Jan-2020,2020-01-23,3.0,0.0,0.0
176,Shaanxi,China,35.1917,108.8701,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,3.0,0.0,0.0
177,Yunnan,China,24.974,101.487,2020-01-22,1.0,0.0,0.0,Jan-2020,2020-01-23,1.0,0.0,0.0
178,Hainan,China,19.1959,109.7453,2020-01-22,4.0,0.0,0.0,Jan-2020,2020-01-23,1.0,0.0,0.0
179,Guizhou,China,26.8154,106.8748,2020-01-22,1.0,0.0,0.0,Jan-2020,2020-01-23,2.0,0.0,0.0
180,Tianjin,China,39.3054,117.323,2020-01-22,4.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
181,Shanxi,China,37.5777,112.2922,2020-01-22,1.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
182,Gansu,China,37.8099,101.0583,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,2.0,0.0,0.0
183,Hong Kong,China,22.3,114.2,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,2.0,0.0,0.0
184,Liaoning,China,41.2956,122.6085,2020-01-22,2.0,0.0,0.0,Jan-2020,2020-01-23,1.0,0.0,0.0
185,Jilin,China,43.6661,126.1923,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,1.0,0.0,0.0
186,Czechia,Czechia,49.8175,15.473,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
187,Xinjiang,China,41.1129,85.2401,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,2.0,0.0,0.0
188,Inner Mongolia,China,44.0935,113.9448,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
189,Ningxia,China,37.2692,106.1655,2020-01-22,1.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
190,Taiwan*,Taiwan*,23.7,121.0,2020-01-22,1.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
191,Vietnam,Vietnam,16.0,108.0,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,2.0,0.0,0.0
192,Russia,Russia,60.0,90.0,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
193,Qinghai,China,35.7452,95.9956,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
194,Macau,China,22.1667,113.55,2020-01-22,1.0,0.0,0.0,Jan-2020,2020-01-23,1.0,0.0,0.0
195,Moldova,Moldova,47.4116,28.3699,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
196,Bolivia,Bolivia,-16.2902,-63.5887,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
197,Faroe Islands,Denmark,61.8926,-6.9118,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
198,St Martin,France,18.0708,-63.0501,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
199,Honduras,Honduras,15.2,-86.2419,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
200,Channel Islands,United Kingdom,49.3723,-2.3644,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
201,New Brunswick,Canada,46.5653,-66.4619,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
202,Tibet,China,31.6927,88.0924,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
203,Congo (Kinshasa),Congo (Kinshasa),-4.0383,21.7587,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
